independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	1	max_probability_gate	0.8	169	136	104	0.6323529411764706	0.15119846596356662	0.328125	0.5
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	1	top2_margin_gate	0.8	169	136	104	0.8014705882352942	0.19401520726024038	0.3385416666666667	0.5192307692307693
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	1	random_gate	0.8	169	136	104	0.6911764705882353	0.19145370758273983	0.34375	0.5288461538461539
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	1	oracle_truth	0.8	169	136	104	1.0	0.14358974358974358	0.2916666666666667	0.5384615384615384
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	2	max_probability_gate	0.8	169	136	104	0.6323529411764706	0.15118092691622104	0.25520833333333337	0.36538461538461536
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	2	top2_margin_gate	0.8	169	136	104	0.8014705882352942	0.12924722336487043	0.28125	0.41346153846153844
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	2	random_gate	0.8	169	136	104	0.6911764705882353	0.14636015325670498	0.359375	0.4519230769230769
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	2	oracle_truth	0.8	169	136	104	1.0	0.150995670995671	0.3385416666666667	0.5192307692307693
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	uot	0	0	max_probability_gate	0.8	183	147	90	0.673469387755102	0.20588235294117646	0.7	0.7
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	uot	0	0	top2_margin_gate	0.8	183	147	90	0.7619047619047619	0.19387755102040816	0.6333333333333333	0.6333333333333333
